Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,P_Att,P_Live,P_Dead,P_FK,P_TB,P_Press,P_Sw,P_Crs,P_CK,P_InCK,P_OutCK,P_StrCK,P_Ground,P_Low,P_High,P_Left,P_Right,P_Head,P_TI,P_Other,P_Cmp,P_Off,P_Out,P_Int,P_Blocks
31,Sergio Agüero,ARG,FW,Manchester City,Premier League,32,1988,6.2,170,160,10,0,0,29,1,2,0,0,0,0,144,18,8,14,150,2,1,2,143,0,0,4,8
32,Ruben Aguilar,FRA,DF,AS Monaco,Ligue 1,27,1993,24.7,1599,1374,225,32,2,133,51,100,22,8,10,2,1023,246,330,33,1304,54,171,5,1317,5,16,24,31
33,Naouirou Ahamada,FRA,MF,VfB Stuttgart,Bundesliga,18,2002,2.8,120,118,2,2,0,30,1,1,0,0,0,0,104,7,9,12,103,4,0,0,108,0,0,1,4
34,Mattéo Ahlinvi,BEN,MF,Nîmes Olympique,Ligue 1,21,1999,10.0,336,328,8,8,0,39,9,4,0,0,0,0,277,25,34,261,56,13,0,2,266,1,16,8,12
35,Bamba Dieng,SEN,FW,Olympique Marseille,Ligue 1,20,2000,1.4,20,17,3,0,0,4,0,1,0,0,0,0,11,7,2,3,12,2,1,1,15,0,1,0,0
36,Jean-Eudes Aholou,CIV,MF,RC Strasbourg Alsace,Ligue 1,26,1994,23.8,839,826,13,10,0,127,16,5,1,1,0,0,635,93,111,642,129,37,2,3,706,2,17,17,14
37,Jean-Eudes Aholou,CIV,MF,AS Monaco,Ligue 1,26,1994,0.4,10,10,0,0,0,1,0,0,0,0,0,0,9,0,1,7,3,0,0,0,8,0,1,0,0
38,Joseph Aidoo,GHA,DF,Celta de Vigo,La Liga,24,1995,14.3,627,610,17,16,2,95,9,1,0,0,0,0,464,59,104,100,467,35,1,4,518,5,18,10,12
39,Ola Aina,NGA,DF,Fulham FC,Premier League,23,1996,29.6,1711,1428,283,33,0,121,38,42,0,0,0,0,1007,270,434,292,1068,84,250,4,1329,1,24,43,45
40,Rayan Aït Nouri,FRA,DF,Wolverhampton Wanderers,Premier League,19,2001,15.6,785,651,134,7,0,78,12,30,7,1,3,3,516,164,105,569,67,20,120,2,657,1,5,10,33
41,Rayan Aït Nouri,FRA,DF,SCO Angers,Ligue 1,19,2001,2.1,149,129,20,0,0,11,2,4,0,0,0,0,116,15,18,117,8,2,20,0,136,0,0,1,1
42,Semi Ajayi,NGA,DF,West Bromwich Albion,Premier League,26,1993,30.9,948,888,60,11,1,121,29,6,0,0,0,0,573,111,264,49,728,71,49,3,705,7,28,29,12
43,Ludovic Ajorque,REU,FW,RC Strasbourg Alsace,Ligue 1,26,1994,33.0,907,852,55,0,2,294,44,33,0,0,0,0,448,264,195,482,172,89,7,20,645,1,27,21,42
44,Manuel Akanji,CHE,DF,Borussia Dortmund,Bundesliga,25,1995,26.1,2097,2036,61,48,1,167,71,0,0,0,0,0,1811,125,161,486,1498,74,13,3,1949,5,18,23,13
45,Carlos Akapo,GNQ,DF,Cádiz CF,La Liga,27,1993,9.6,349,239,110,9,0,49,8,16,0,0,0,0,142,98,109,18,194,25,101,1,233,2,14,13,10
46,Marley Aké,FRA,FW,Olympique Marseille,Ligue 1,19,2001,1.6,35,33,2,0,0,11,0,1,0,0,0,0,21,6,8,3,24,3,0,1,28,1,2,2,1
47,Nathan Aké,NLD,DF,Manchester City,Premier League,25,1995,8.9,755,730,25,13,0,44,10,0,0,0,0,0,659,32,64,583,116,21,11,3,702,0,3,7,7
48,Paul Akouokou,CIV,MF,Real Betis Balompié,La Liga,22,1997,4.2,183,182,1,1,0,20,3,2,0,0,0,0,150,16,17,21,151,5,0,1,168,0,1,3,0
49,Jean-Daniel Akpa Akpro,CIV,MF,SS Lazio,Serie A,27,1992,11.7,354,336,18,4,2,55,6,1,0,0,0,0,255,63,36,59,263,12,12,3,288,1,9,9,14
50,Kevin Akpoguma,NGA,DF,TSG 1899 Hoffenheim,Bundesliga,25,1995,13.2,737,676,61,29,0,81,13,7,2,1,0,0,559,55,123,98,574,25,30,0,606,1,23,6,10
51,David Alaba,AUT,DF,Bayern Munich,Bundesliga,28,1992,29.7,2251,2158,93,50,5,195,45,29,1,0,1,0,1720,180,351,1869,260,68,40,2,1916,11,27,36,35
52,Sofiane Alakouch,FRA,DF,Nîmes Olympique,Ligue 1,22,1998,16.7,912,713,199,18,0,75,19,15,0,0,0,0,529,238,145,60,643,21,180,2,726,3,19,30,29
53,Jony Álamo,ESP,MF,Elche CF,La Liga,18,2001,0.8,16,16,0,0,0,2,0,0,0,0,0,0,15,1,0,2,14,0,0,0,14,0,1,0,0
54,Lucas Alario,ARG,FW,Bayer 04 Leverkusen,Bundesliga,27,1992,13.8,315,299,16,1,0,83,1,0,0,0,0,0,199,73,43,37,221,22,0,14,239,0,1,9,12
55,Jordi Alba,ESP,DF,FC Barcelona,La Liga,31,1989,33.6,2933,2662,271,30,7,201,42,113,3,0,0,0,2183,465,285,2296,358,31,238,6,2507,6,24,55,97
56,Luis Alberto,ESP,MF,SS Lazio,Serie A,27,1992,29.1,1941,1682,259,72,15,315,69,37,117,55,35,11,1391,215,335,93,1785,23,21,10,1520,15,20,50,44
57,Raúl Albiol,ESP,DF,Villarreal CF,La Liga,34,1985,34.6,2007,1939,68,63,0,185,67,3,0,0,0,0,1588,141,278,294,1602,72,4,1,1795,2,30,14,19
58,Marc Albrighton,ENG,DF,Leicester City,Premier League,30,1989,19.4,923,824,99,10,6,151,33,73,31,5,11,4,523,189,211,68,755,25,58,6,635,6,16,30,72
59,Paco Alcácer,ESP,FW,Villarreal CF,La Liga,26,1993,17.2,275,239,36,0,6,40,6,6,0,0,0,0,171,67,37,36,205,19,1,5,202,3,4,13,10
60,Pedro Alcalá,ESP,DF,Cádiz CF,La Liga,31,1989,10.1,270,254,16,16,0,27,24,0,0,0,0,0,160,19,91,10,229,22,0,2,204,2,6,3,4
61,Thiago,ESP,MF,Liverpool FC,Premier League,29,1991,20.6,1674,1630,44,32,9,230,85,4,0,0,0,0,1222,195,257,83,1510,48,3,6,1498,5,18,35,23
62,Rubén Alcaraz,ESP,MF,Real Valladolid CF,La Liga,29,1991,24.1,1157,1104,53,46,1,202,71,6,1,1,0,0,781,105,271,170,884,51,6,8,962,4,31,22,19
63,Omar Alderete,PRY,DF,Hertha BSC,Bundesliga,23,1996,14.4,878,854,24,24,0,59,25,2,0,0,0,0,635,44,199,784,46,32,0,2,717,6,11,17,10
64,Toby Alderweireld,BEL,DF,Tottenham Hotspur,Premier League,31,1989,24.9,1365,1305,60,50,2,98,51,1,0,0,0,0,926,120,319,255,1010,66,10,4,1143,2,19,21,13
65,Iván Alejo,ESP,MF,Cádiz CF,La Liga,25,1995,9.2,231,218,13,1,1,57,12,46,3,1,2,0,120,49,62,18,180,12,7,1,130,0,8,6,26
66,Carles Aleñá,ESP,MF,FC Barcelona,La Liga,22,1998,0.5,42,42,0,0,0,6,2,0,0,0,0,0,36,3,3,36,4,0,0,0,38,0,1,1,0
67,Carles Aleñá,ESP,MF,Getafe CF,La Liga,22,1998,15.2,591,518,73,36,1,93,29,24,30,11,12,1,356,72,163,497,50,29,5,1,407,7,16,21,17
68,Rúnar Alex Rúnarsson,ISL,GK,Arsenal FC,Premier League,25,1995,0.2,11,8,3,2,0,1,0,0,0,0,0,0,7,1,3,1,8,0,0,2,7,0,1,0,0
69,Trent Alexander-Arnold,ENG,DF,Liverpool FC,Premier League,21,1998,33.7,2941,2454,487,57,9,248,147,182,104,17,57,4,1628,531,782,335,2208,63,326,6,2216,11,37,63,103
70,Alfonso González,ESP,MF,Celta de Vigo,La Liga,21,1999,0.4,15,15,0,0,0,2,0,0,0,0,0,0,12,2,1,1,13,1,0,0,15,0,0,0,0
71,Mohamed-Ali Cho,FRA,FW,SCO Angers,Ligue 1,16,2004,3.9,105,104,1,0,0,25,1,9,0,0,0,0,76,18,11,74,20,3,0,4,67,1,2,7,5
72,Ezgjan Alioski,MKD,DF,Leeds United,Premier League,28,1992,27.3,1630,1376,254,31,2,170,22,59,0,0,0,0,997,401,232,1172,122,85,223,1,1305,4,27,46,60
73,Rachid Alioui,MAR,FW,SCO Angers,Ligue 1,28,1992,0.2,6,6,0,0,0,2,0,0,0,0,0,0,3,2,1,0,4,2,0,0,5,0,0,0,0
74,Alisson,BRA,GK,Liverpool FC,Premier League,27,1992,33.0,1137,901,236,63,0,82,35,0,0,0,0,0,818,59,260,96,850,1,0,159,968,3,16,11,1
75,Saturnin Allagbé,BEN,GK,Dijon FCO,Ligue 1,26,1993,12.0,405,271,134,29,0,23,8,0,0,0,0,0,169,16,220,27,294,0,1,70,267,1,13,1,1
76,Allan,BRA,MF,Everton FC,Premier League,29,1991,22.8,1048,1014,34,22,0,148,14,3,0,0,0,0,768,140,140,113,894,28,5,4,899,3,11,26,20
77,Dele Alli,ENG,MF,Tottenham Hotspur,Premier League,24,1996,6.9,337,316,21,8,3,67,4,7,0,0,0,0,273,37,27,23,299,8,2,0,270,2,4,13,14
78,Miguel Almirón,PRY,MF,Newcastle United,Premier League,26,1994,27.0,877,845,32,6,2,141,17,29,6,0,1,0,673,108,96,800,38,20,6,7,711,4,7,22,31
79,Marcos Alonso,ESP,DF,Chelsea FC,Premier League,29,1990,10.7,592,506,86,11,0,85,4,13,4,0,4,0,396,109,87,435,52,20,71,3,483,4,6,13,25
80,Sergio Álvarez,ESP,MF,SD Eibar,La Liga,28,1992,17.4,688,674,14,11,0,133,24,6,0,0,0,0,438,86,164,65,524,62,2,1,535,1,20,9,12
81,Yeray Álvarez,ESP,DF,Athletic Bilbao,La Liga,25,1995,21.6,1061,1007,54,51,1,105,52,2,0,0,0,0,767,97,197,77,886,60,3,1,895,3,20,15,14
82,Bruno Alves,PRT,DF,Parma Calcio 1913,Serie A,38,1981,18.1,916,881,35,29,0,61,55,7,0,0,0,0,629,95,192,141,691,43,3,3,796,4,13,4,2
83,Steven Alzate,COL,MF,Brighton & Hove Albion,Premier League,21,1998,10.0,446,431,15,3,0,75,12,2,2,1,1,0,374,41,31,36,381,14,9,2,399,0,3,6,8
84,Ibrahim Amadou,FRA,MF,SCO Angers,Ligue 1,27,1993,16.7,689,668,21,20,2,104,14,3,0,0,0,0,557,51,81,48,594,28,1,1,596,1,8,12,9
85,Romain Amalfitano,FRA,FW,Dijon FCO,Ligue 1,30,1989,1.3,58,52,6,1,0,11,1,4,0,0,0,0,42,8,8,4,48,0,5,0,47,1,2,0,1
86,Amankwaa Akurugu,GHA,DF,Getafe CF,La Liga,18,2001,0.5,12,10,2,0,0,3,0,0,0,0,0,0,9,1,2,9,1,0,2,0,8,0,0,0,2
87,Daniel Amartey,GHA,DF,Leicester City,Premier League,25,1994,8.0,466,433,33,1,0,47,3,0,0,0,0,0,341,59,66,36,362,21,32,2,400,2,0,7,10
88,Jordan Amavi,FRA,DF,Olympique Marseille,Ligue 1,26,1994,9.0,441,363,78,7,0,64,13,9,0,0,0,0,228,119,94,239,90,23,71,2,355,1,9,3,15
89,Thierry Ambrose,FRA,FW,FC Metz,Ligue 1,23,1997,8.4,253,240,13,2,1,82,11,14,3,2,1,0,151,37,65,42,171,19,1,1,174,1,6,7,15
90,Wisdom Amey,ITA,DF,Bologna FC 1909,Serie A,14,2005,0.0,4,2,2,0,0,0,1,0,0,0,0,0,1,2,1,0,2,0,2,0,4,0,0,0,0
91,Nadiem Amiri,DEU,MF,Bayer 04 Leverkusen,Bundesliga,23,1996,21.0,1143,1053,90,35,2,187,23,22,44,14,19,0,827,145,171,148,962,14,8,7,946,4,3,35,24
92,Ethan Ampadu,WAL,DF,Sheffield United,Premier League,19,2000,23.2,1064,979,85,19,3,121,42,11,5,5,0,0,710,122,232,174,722,65,61,4,857,1,27,15,19
93,Sofyan Amrabat,MAR,MF,ACF Fiorentina,Serie A,23,1996,27.1,1390,1330,60,41,0,179,65,10,0,0,0,0,1086,113,191,94,1241,34,3,5,1234,3,14,24,34
94,Jon Ander Garrido,ESP,MF,Cádiz CF,La Liga,30,1989,8.9,248,237,11,11,0,48,6,2,0,0,0,0,150,52,46,27,177,29,0,1,195,0,6,11,6
95,Joachim Andersen,DNK,DF,Fulham FC,Premier League,24,1996,30.3,1833,1765,68,54,1,163,96,4,0,0,0,0,1255,158,420,174,1476,108,14,7,1529,7,51,18,22
96,Joachim Andersen,DNK,DF,Olympique Lyon,Ligue 1,24,1996,2.1,117,111,6,4,0,11,4,0,0,0,0,0,89,11,17,9,96,5,2,0,105,0,0,1,1
97,Djavan Anderson,NLD,DF,SS Lazio,Serie A,25,1995,0.8,33,26,7,0,0,5,0,1,0,0,0,0,20,10,3,2,22,1,7,0,24,0,0,2,1
98,Elliot Anderson,SCO,MF,Newcastle United,Premier League,17,2002,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
99,Felipe Anderson,BRA,FW,West Ham United,Premier League,27,1993,0.0,6,6,0,0,0,0,0,1,0,0,0,0,6,0,0,3,2,0,0,1,4,0,0,1,0
100,Sebastian Andersson,SWE,FW,1. FC Köln,Bundesliga,29,1991,12.5,246,223,23,0,0,93,1,4,0,0,0,0,121,68,57,23,128,26,1,17,175,1,6,5,11
101,Nícolas,BRA,GK,Udinese Calcio,Serie A,32,1988,2.0,40,28,12,3,0,3,0,0,0,0,0,0,25,1,14,9,25,0,0,5,33,0,0,0,0
102,Benjamin André,FRA,MF,LOSC Lille,Ligue 1,29,1990,32.1,2042,2012,30,27,3,310,45,12,0,0,0,0,1491,286,265,250,1607,107,3,16,1737,5,36,42,40
103,Robert Andrich,DEU,MF,1.FC Union Berlin,Bundesliga,25,1994,28.1,1461,1432,29,25,2,250,29,8,0,0,0,0,968,211,282,315,974,109,3,12,1156,9,29,36,38
104,Victorien Angban,CIV,MF,FC Metz,Ligue 1,23,1996,18.6,878,859,19,15,0,134,27,6,0,0,0,0,693,88,97,101,743,21,4,0,777,1,12,18,14
105,Ángel Jiménez,ESP,GK,Granada CF,La Liga,18,2002,1.0,30,11,19,2,0,3,1,0,0,0,0,0,5,0,25,12,16,0,0,0,16,0,2,0,0
106,Miguel Rubio,ESP,DF,Real Valladolid CF,La Liga,22,1998,1.5,50,50,0,0,0,7,1,0,0,0,0,0,23,6,21,8,30,9,0,0,39,1,1,1,0
107,José Ángel,ESP,DF,SD Eibar,La Liga,30,1989,10.0,681,542,139,18,0,87,26,37,5,3,1,0,350,136,195,418,105,28,116,2,509,5,18,29,13
108,Angeliño,ESP,DF,RB Leipzig,Bundesliga,23,1997,24.0,1490,1203,287,46,4,163,52,112,48,18,18,1,775,279,436,1099,122,62,193,4,1059,9,25,31,61
109,Davide Ghislandi,ITA,DF,Atalanta BC,Serie A,19,2001,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0
110,Philip Yeboah,GHA,MF,Hellas Verona,Serie A,17,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Cristian Ansaldi,ARG,DF,Torino FC,Serie A,33,1986,21.6,1008,770,238,29,0,113,82,133,25,5,17,1,422,189,397,359,439,18,184,4,684,1,36,23,36
112,Waldemar Anton,DEU,DF,VfB Stuttgart,Bundesliga,24,1996,30.1,2073,1972,101,61,2,207,32,8,0,0,0,0,1661,156,256,356,1571,62,39,10,1827,5,26,27,28
113,Josete Miranda,GNQ,MF,Getafe CF,La Liga,22,1998,0.3,16,16,0,0,0,2,0,0,0,0,0,0,8,4,4,3,10,2,0,0,9,0,1,0,1
114,Michail Antonio,ENG,FW,West Ham United,Premier League,30,1990,21.9,490,472,18,1,0,171,14,30,0,0,0,0,283,124,83,76,319,28,8,12,326,2,11,17,31
115,Valentin Antov,BGR,DF,Bologna FC 1909,Serie A,19,2000,2.6,119,107,12,6,0,5,7,0,0,0,0,0,97,9,13,18,93,2,6,0,106,0,3,1,1
116,Houssem Aouar,FRA,MF,Olympique Lyon,Ligue 1,22,1998,19.8,1009,969,40,10,4,130,17,20,12,4,1,0,860,94,55,103,883,12,7,0,852,4,12,38,31
117,Adil Aouchiche,FRA,MF,AS Saint-Étienne,Ligue 1,18,2002,19.2,827,691,136,48,7,132,61,41,76,26,37,3,526,92,209,115,667,16,6,12,594,1,18,31,24
118,Dennis Appiah,FRA,DF,FC Nantes,Ligue 1,28,1992,17.3,861,672,189,10,0,98,13,41,0,0,0,0,456,188,217,113,506,45,179,4,634,3,22,25,26
119,Aritz Arambarri,ESP,DF,Real Sociedad,La Liga,22,1998,0.3,20,15,5,1,0,2,0,0,0,0,0,0,11,7,2,4,11,1,4,0,15,0,0,0,1
120,Mauro Arambarri,URY,MF,Getafe CF,La Liga,24,1995,33.1,1076,951,125,55,1,163,98,50,67,32,11,10,547,138,391,89,852,85,1,4,754,6,36,18,25
121,Charles Aránguiz,CHL,MF,Bayer 04 Leverkusen,Bundesliga,31,1989,18.5,1160,1114,46,38,4,170,26,2,0,0,0,0,870,133,157,147,946,47,8,4,1003,2,12,28,24
122,Luiz Araújo,BRA,MF,LOSC Lille,Ligue 1,24,1996,16.6,611,594,17,3,4,110,25,25,5,2,2,0,413,88,110,495,73,28,8,1,463,2,11,20,26
123,Néstor Araújo,MEX,DF,Celta de Vigo,La Liga,28,1991,27.0,1555,1526,29,27,1,128,30,3,0,0,0,0,1192,131,232,169,1276,71,2,5,1321,2,26,25,18
124,Ronald Araújo,URY,DF,FC Barcelona,La Liga,21,1999,16.8,1068,1032,36,26,1,95,13,0,0,0,0,0,921,59,88,102,896,26,9,5,987,1,9,8,7
125,Anaitz Arbilla,ESP,DF,SD Eibar,La Liga,33,1987,31.2,1876,1602,274,83,2,232,150,30,3,1,2,0,955,350,571,417,1088,127,188,6,1445,2,72,28,30
126,Alphonse Areola,FRA,GK,Fulham FC,Premier League,27,1993,36.0,1001,650,351,102,0,45,19,0,0,0,0,0,534,34,433,65,727,0,0,158,737,3,19,5,2
127,Santiago Arias,COL,DF,Bayer 04 Leverkusen,Bundesliga,28,1992,1.0,55,47,8,1,0,12,0,0,0,0,0,0,39,9,7,3,42,3,7,0,47,0,0,1,1
128,Karim Aribi,DZA,FW,Nîmes Olympique,Ligue 1,26,1994,3.3,62,53,9,0,0,20,0,1,0,0,0,0,36,13,13,11,37,7,0,0,40,0,2,1,2
129,Unai Arieta,ESP,FW,SD Eibar,La Liga,21,1999,0.5,7,7,0,0,0,0,0,0,0,0,0,0,5,0,2,2,3,2,0,0,4,0,0,0,1
130,Nicolò Armini,ITA,DF,SS Lazio,Serie A,19,2001,0.1,4,4,0,0,0,1,0,1,0,0,0,0,2,1,1,2,2,0,0,0,3,1,0,0,0
131,Stuart Armstrong,SCO,MF,Southampton FC,Premier League,28,1992,30.7,1258,1181,77,14,7,268,19,26,1,0,0,0,961,172,125,229,965,39,16,3,1002,2,12,44,65
132,Maximilian Arnold,DEU,MF,VfL Wolfsburg,Bundesliga,26,1994,28.7,1652,1393,259,142,6,255,121,33,107,51,39,0,1017,210,425,1215,317,72,9,6,1323,6,25,26,26
133,Tolu Arokodare,NGA,FW,1. FC Köln,Bundesliga,19,2000,1.2,36,34,2,0,0,14,1,0,0,0,0,0,16,13,7,4,18,5,0,2,27,0,0,1,1
134,Sergio Arribas,ESP,FW,Real Madrid,La Liga,18,2001,1.5,92,90,2,0,0,20,0,1,0,0,0,0,77,9,6,80,8,1,2,0,76,1,0,1,5
135,Kepa,ESP,GK,Chelsea FC,Premier League,25,1994,6.5,243,192,51,6,0,22,4,0,0,0,0,0,154,13,76,30,170,0,0,39,198,0,4,1,0
136,Tolgay Arslan,DEU,MF,Udinese Calcio,Serie A,29,1990,20.2,901,859,42,36,1,131,31,9,3,1,2,0,691,98,112,96,755,32,3,2,761,5,7,26,16
137,Kwadwo Asamoah,GHA,DF,Cagliari Calcio,Serie A,31,1988,2.5,109,97,12,1,0,7,0,4,1,0,0,0,71,18,20,87,10,1,10,0,93,0,0,1,2
138,Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,23,1997,8.5,353,328,25,23,1,74,11,3,0,0,0,0,254,37,62,67,257,19,2,3,294,1,7,9,8
139,Sergio Asenjo,ESP,GK,Villarreal CF,La Liga,31,1989,36.0,1307,945,362,77,0,103,36,0,0,0,0,0,776,53,478,200,882,1,0,191,1033,3,25,8,1
140,Marco Asensio,ESP,FW,Real Madrid,La Liga,24,1996,20.8,1007,944,63,11,4,155,39,76,33,8,6,3,748,120,139,851,109,14,19,8,808,3,16,21,48
141,Kristoffer Askildsen,NOR,MF,UC Sampdoria,Serie A,19,2001,1.1,19,19,0,0,0,4,1,1,0,0,0,0,10,5,4,8,9,2,0,0,8,0,2,0,1
142,Iago Aspas,ESP,FW,Celta de Vigo,La Liga,32,1987,31.8,1254,1208,46,15,9,257,29,39,1,1,0,0,974,169,111,885,285,50,11,7,965,11,17,51,56
143,Roger Assalé,CIV,FW,Dijon FCO,Ligue 1,26,1993,9.2,183,177,6,2,0,35,3,5,0,0,0,0,138,26,19,28,136,11,1,1,126,1,2,13,7
144,Miguel Atienza,ESP,MF,SD Eibar,La Liga,21,1999,9.3,338,335,3,3,0,78,9,3,0,0,0,0,227,40,71,25,259,28,0,3,270,1,10,12,6
145,Youcef Atal,DZA,DF,OGC Nice,Ligue 1,24,1996,10.6,633,537,96,11,0,79,14,41,1,0,1,0,438,122,73,28,497,16,84,1,508,0,15,17,20
146,Pierre-Emerick Aubameyang,GAB,FW,Arsenal FC,Premier League,31,1989,25.9,691,670,21,1,6,141,9,47,1,0,0,0,495,102,94,76,564,17,3,9,518,9,5,16,23
147,Emil Audero,ITA,GK,UC Sampdoria,Serie A,23,1997,37.0,1256,877,379,118,2,95,23,0,0,0,0,0,562,74,620,114,914,1,0,175,874,2,26,5,3
