Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
28,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,43,1,5,16,23,1,35,0,1,0.0,0,0,22,108,55,5,0,1,0,0,20,17,85.0,0
29,Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,24.0,1483,66,407,692,477,44,1244,37,68,54.4,39,1,847,4786,2909,109,37,8,26,30,880,766,87.0,50
30,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,751,12,167,535,94,1,739,14,16,87.5,14,0,583,2289,1113,39,7,0,7,10,598,566,94.6,15
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,831,36,255,569,74,1,809,22,27,81.5,23,0,637,3181,1838,50,19,0,3,6,587,565,96.3,11
32,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,39,2,6,22,13,2,37,0,1,0.0,0,0,27,125,96,3,1,1,0,0,29,27,93.1,0
33,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,651,11,38,367,277,82,623,14,24,58.3,15,0,393,1366,578,27,15,3,50,20,838,506,60.4,175
34,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,2035,161,837,1286,84,19,1995,8,11,72.7,8,0,1558,9939,5476,160,19,2,8,7,1591,1579,99.2,21
35,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,574,43,193,290,139,15,485,13,18,72.2,13,0,319,2142,1296,62,25,6,9,8,298,268,89.9,20
36,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,2147,358,1344,779,142,44,2070,3,6,50.0,3,0,1262,6558,3384,56,21,0,16,5,1342,1283,95.6,41
37,Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,112,6,35,60,26,0,102,3,4,75.0,3,0,79,461,272,11,4,0,2,2,78,69,88.5,2
38,Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,5.8,249,0,26,130,109,20,248,8,13,61.5,10,0,191,697,369,20,4,4,15,14,251,171,68.1,44
39,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,210,17,94,130,9,0,203,2,2,100.0,2,0,142,926,547,15,4,0,0,4,136,133,97.8,1
40,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,343,41,142,195,14,0,329,1,1,100.0,1,0,199,1002,520,27,3,0,0,5,199,195,98.0,0
41,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,2381,50,484,1232,811,74,2079,26,35,74.3,26,1,1722,7844,3947,158,70,13,28,18,1797,1667,92.8,127
42,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,21.1,1379,65,428,624,412,20,1141,26,38,68.4,28,0,753,3403,2197,92,38,3,20,19,777,715,92.0,34
43,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,572,13,67,257,272,87,555,4,16,25.0,7,1,379,1342,556,24,8,7,39,28,700,451,64.4,170
44,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,2990,97,712,1348,1057,104,2675,20,29,69.0,20,1,2102,7762,4507,228,57,23,28,18,2307,2108,91.4,162
45,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,22.1,1757,12,170,851,901,67,1527,24,54,44.4,32,3,1287,7172,4662,242,101,14,35,46,1459,1235,84.6,170
46,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,1287,157,594,725,31,7,1255,1,2,50.0,1,0,885,4217,2282,66,8,0,4,2,899,885,98.4,5
47,Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,18.4,1165,56,357,570,317,15,964,9,22,40.9,10,1,700,3244,1704,78,26,4,20,19,720,647,89.9,43
48,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,18.1,991,42,198,429,428,27,963,22,45,48.9,24,3,765,3812,1662,84,30,3,27,36,835,676,81.0,103
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,403,6,17,162,233,78,370,7,11,63.6,9,0,252,663,312,22,1,5,31,13,479,295,61.6,124
50,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,29,1989,20.8,1125,191,702,443,39,20,1080,4,6,66.7,5,0,618,3249,1713,35,5,0,6,4,636,612,96.2,15
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,2823,55,555,1896,567,32,2690,52,61,85.2,54,0,2197,10071,5176,233,62,3,13,24,2171,2100,96.7,85
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,2164,91,579,1399,334,21,2069,24,41,58.5,27,1,1520,7443,3451,121,38,1,30,33,1408,1330,94.5,40
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,2632,297,1387,1309,115,20,2554,2,4,50.0,2,0,1830,9324,4906,123,23,0,3,3,1925,1899,98.6,19
54,Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,1.6,62,0,7,31,31,8,59,5,11,45.5,6,0,46,110,52,4,1,2,6,2,80,45,56.3,18
55,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,3,0,0,1,2,0,3,0,0,,0,0,2,0,0,0,0,0,1,1,5,3,60.0,1
56,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,es La Liga,23,1995,1.6,68,1,10,37,31,1,65,7,9,77.8,7,0,55,282,130,8,4,0,6,8,64,48,75.0,10
57,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,665,3,64,423,233,13,654,11,17,64.7,11,0,571,2779,1450,72,28,3,13,9,626,580,92.7,38
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,897,727,894,4,0,0,624,3,3,100.0,3,0,458,1608,848,0,0,0,2,0,374,374,100.0,0
59,Alexander\Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,9,0,3,3,4,0,7,0,0,,0,0,4,15,3,0,0,0,0,0,4,4,100.0,1
60,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,2492,84,585,1171,862,44,2056,20,39,51.3,23,3,1608,5900,3432,160,55,5,28,16,1647,1543,93.7,94
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,525,7,30,225,301,57,502,11,17,64.7,12,0,332,1585,781,40,16,5,24,9,607,374,61.6,128
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,1341,1133,1335,8,0,0,1049,1,1,100.0,1,0,777,2824,1581,1,0,0,2,1,671,671,100.0,0
63,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,514,439,513,1,0,0,345,0,0,,0,0,230,1140,730,0,0,0,0,0,146,146,100.0,0
64,Allan\Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,2583,80,551,1680,519,34,2489,56,78,71.8,58,2,2066,9393,5237,238,60,13,30,38,1998,1886,94.4,65
65,Allan\Allan,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,2.0,85,1,15,50,32,1,83,1,2,50.0,1,0,49,265,115,6,5,1,0,1,49,45,91.8,6
66,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,22,1996,20.3,1313,31,168,667,567,104,1282,28,57,49.1,33,6,1001,4547,2332,106,37,13,41,33,1214,965,79.5,220
67,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,8.4,384,9,60,168,199,30,380,7,16,43.8,10,4,294,2195,1388,65,24,9,21,14,391,242,61.9,61
68,Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,6.0,375,22,108,215,63,8,344,2,6,33.3,2,0,226,742,390,21,7,0,4,2,251,230,91.6,11
69,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,2614,119,720,1157,903,88,2336,22,36,61.1,25,0,1798,8663,5152,255,70,7,28,42,1866,1706,91.4,141
70,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,6.3,379,25,109,170,120,8,319,3,3,100.0,3,0,212,1199,751,37,12,1,6,5,207,193,93.2,14
71,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,480,435,480,0,0,0,333,0,0,,0,0,246,1135,713,0,0,0,0,0,193,193,100.0,0
72,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,26,1992,11.9,621,48,184,410,54,8,613,3,3,100.0,3,0,370,1721,648,18,4,0,2,8,353,337,95.5,5
73,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,1623,177,803,883,56,19,1566,4,6,66.7,5,0,930,5510,3250,85,15,0,7,12,925,910,98.4,12
74,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,1549,323,960,609,76,30,1471,5,5,100.0,5,0,793,4964,2628,45,1,0,4,3,824,806,97.8,23
75,Dani Alves\Dani-Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,18.0,1775,28,272,1078,547,41,1693,24,36,66.7,25,0,1383,5244,3072,143,52,7,13,28,1513,1407,93.0,110
76,Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,6,2,2,3,2,1,6,0,0,,0,0,1,6,4,0,1,0,0,0,2,2,100.0,1
77,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,8.5,450,31,157,265,54,6,444,7,10,70.0,8,0,283,1259,598,21,8,0,4,3,306,279,91.2,12
78,Romain Amalfitano\Romain-Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,28.0,1395,55,307,914,260,17,1378,28,49,57.1,33,1,1009,5469,2711,126,35,2,39,38,1029,911,88.5,66
79,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,497,42,188,275,62,3,444,1,3,33.3,2,0,306,1105,565,22,8,0,2,4,289,274,94.8,4
80,Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,1598,166,811,850,53,14,1527,21,24,87.5,21,0,979,5998,3454,74,19,0,9,9,959,927,96.7,13
81,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,22,1996,11.1,390,11,57,177,189,49,388,22,41,53.7,24,2,289,1501,941,43,13,11,32,27,393,237,60.3,80
82,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,1640,84,489,830,437,26,1405,27,45,60.0,28,3,933,4839,2945,127,55,9,28,35,914,841,92.0,57
83,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,1527,122,554,782,307,17,1297,26,40,65.0,29,1,835,4748,2972,135,51,3,16,19,822,734,89.3,39
84,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,8.4,488,8,70,284,181,30,477,18,26,69.2,19,2,383,2027,1075,62,22,9,6,14,399,352,88.2,51
85,Yanis Ammour\Yanis-Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0
86,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,4,0,1,3,0,0,4,0,0,,0,0,1,0,0,0,0,0,1,0,1,1,100.0,0
87,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,2307,345,1135,1281,69,18,2222,14,15,93.3,14,0,1529,8527,5332,103,14,0,3,8,1598,1576,98.6,15
88,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,25,1993,33.8,2299,33,332,1185,1039,127,2177,84,153,54.9,89,13,1822,11171,6892,306,129,47,71,71,1922,1650,85.8,184
89,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,343,14,52,146,175,47,336,13,32,40.6,16,3,221,815,417,19,4,6,42,32,544,241,44.3,93
90,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,1855,65,370,1156,444,51,1823,27,42,64.3,31,0,1240,5897,2897,129,49,0,35,39,1377,1205,87.5,181
91,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,82,13,45,40,1,1,82,0,0,,0,0,52,184,98,1,0,0,0,0,62,60,96.8,1
92,Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,315,45,192,127,6,4,308,1,1,100.0,1,0,164,697,263,4,0,0,2,1,193,186,96.4,3
93,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,3,0,0,2,1,0,2,0,0,,0,0,1,0,0,0,0,0,0,1,1,1,100.0,0
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,393,336,389,5,0,0,291,1,1,100.0,1,0,211,778,505,0,0,0,1,0,188,187,99.5,0
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,2498,99,600,1307,780,21,1984,53,68,77.9,54,1,1416,7767,3827,174,79,5,20,17,1289,1235,95.8,29
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,20.1,1141,44,259,506,510,45,951,59,95,62.1,61,2,785,5548,3326,145,67,7,25,34,778,665,85.5,51
97,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,821,6,58,392,432,104,779,29,51,56.9,29,0,641,3180,1279,83,27,17,66,47,968,622,64.3,232
98,Waldemar Anton\Waldemar-Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,2105,264,1209,987,92,31,2032,21,27,77.8,22,0,1337,8886,4822,93,18,2,13,19,1265,1241,98.1,27
99,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Empoli,it Serie A,31,1987,8.4,494,39,162,240,131,23,445,5,8,62.5,5,0,296,1649,1149,44,22,3,12,4,307,285,92.8,18
100,Mauro Antonio Burruchaga\Mauro-Antonio-Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,49,3,16,32,7,0,47,0,2,0.0,0,0,35,173,112,6,2,0,0,3,29,28,96.6,1
101,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,28,1990,23.4,1225,39,175,564,594,116,1168,57,92,62.0,63,1,853,4759,2860,148,42,26,84,89,1284,849,66.1,207
102,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,30,1987,20.7,1101,47,280,517,395,20,945,29,42,69.0,30,2,714,3643,2279,123,45,6,28,27,785,672,85.6,47
103,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,31,1987,24.2,1439,76,385,670,463,21,1088,23,35,65.7,23,2,726,3714,2016,97,39,7,20,18,729,629,86.3,48
104,Anuar\Anuar,ma MAR,MF,Valladolid,es La Liga,23,1995,12.0,535,35,168,324,83,15,525,3,5,60.0,4,0,311,2016,1108,31,10,3,10,12,399,294,73.7,23
105,Dennis Aogo\Dennis-Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,645,22,152,406,123,9,587,4,6,66.7,4,1,416,1735,766,29,9,1,4,6,428,406,94.9,12
106,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,34.0,2472,37,354,1629,682,122,2447,67,103,65.0,72,1,2048,10501,5282,269,74,24,62,50,2207,1977,89.6,214
107,Emmanuel Apeh\Emmanuel-Apeh,ng NGA,MF,Celta Vigo,es La Liga,21,1996,0.2,9,0,0,4,7,1,9,0,1,0.0,0,0,9,17,1,0,0,0,0,1,14,8,57.1,5
108,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,29.7,1114,53,214,709,250,25,1087,40,51,78.4,43,1,685,2880,1151,42,18,5,29,22,609,505,82.9,43
109,Guilherme Arana\Guilherme-Arana,br BRA,MFDF,Sevilla,es La Liga,21,1997,7.0,347,14,103,168,92,12,294,4,11,36.4,4,1,220,1157,694,42,8,4,3,1,226,208,92.0,9
110,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21.0,1884,50,325,1257,402,41,1840,21,30,70.0,21,0,1384,5142,2557,116,38,4,30,24,1516,1403,92.5,81
111,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,22,1996,8.7,440,3,56,203,220,19,412,26,40,65.0,31,1,350,1887,1151,50,12,8,20,20,384,320,83.3,50
112,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,1791,245,969,853,53,21,1745,3,4,75.0,4,0,1117,4779,2347,48,4,0,1,5,1180,1161,98.4,14
113,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,1357,101,494,859,110,21,1294,6,7,85.7,6,0,794,6032,2926,106,31,1,10,4,746,723,96.9,15
114,Joaquín Ardaiz\Joaquin-Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,6,0,0,4,3,0,6,0,0,,0,0,4,28,18,1,1,0,0,2,11,4,36.4,1
115,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,546,488,544,3,0,0,389,0,0,,0,0,260,1183,635,0,0,0,0,0,229,229,100.0,0
116,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,1223,50,309,537,446,23,1050,14,23,60.9,14,0,744,3547,1980,112,35,3,10,9,742,657,88.5,46
117,Lorenzo Ariaudo\Lorenzo-Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,811,176,516,342,22,14,777,3,3,100.0,3,0,450,3149,1734,17,3,0,3,1,465,453,97.4,13
118,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,26,2,12,17,3,0,24,0,0,,0,0,20,187,145,1,1,0,0,0,19,19,100.0,0
119,Yoël Armougom\Yoel-Armougom,fr FRA,DFMF,Caen,fr Ligue 1,20,1998,20.6,1116,50,359,601,236,11,932,19,40,47.5,23,1,661,3379,1935,81,25,4,21,10,715,622,87.0,34
120,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,eng Premier League,26,1992,15.9,857,19,104,387,433,53,825,18,28,64.3,18,1,624,3256,1625,84,37,8,36,31,782,609,77.9,91
121,José Arnaiz\Jose-Arnaiz,es ESP,DFMF,Leganés,es La Liga,23,1995,1.3,52,1,10,22,26,6,51,4,8,50.0,6,0,44,223,97,7,2,2,4,3,45,36,80.0,10
122,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,867,10,51,330,541,139,825,28,38,73.7,29,1,661,2873,1130,65,23,19,47,40,1128,691,61.3,257
123,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,1775,77,403,1017,470,28,1584,22,29,75.9,23,0,1155,5487,2892,99,26,4,19,28,1192,1050,88.1,105
124,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36.0,1208,1071,1201,7,0,0,925,1,1,100.0,1,0,691,2332,1118,0,0,0,0,2,623,623,100.0,0
125,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,eng Premier League,28,1989,22.2,857,31,157,516,231,21,798,7,9,77.8,7,0,469,1802,872,36,21,3,16,7,520,424,81.5,31
126,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,2480,79,631,1379,669,33,2269,53,73,72.6,54,1,1898,8654,5389,237,84,14,23,20,1855,1774,95.6,63
127,Takuma Asano\Takuma-Asano,jp JPN,MFFW,Hannover 96,de Bundesliga,23,1994,7.8,286,3,39,130,143,20,284,9,20,45.0,9,0,227,1177,608,25,8,2,29,19,334,212,63.5,71
